timestamp,query,execution_time
2024-01-01 00:00:00,DELETE,98
2024-01-01 01:00:00,UPDATE,50
2024-01-01 02:00:00,SELECT,84
2024-01-01 03:00:00,DELETE,44
2024-01-01 04:00:00,INSERT,86
2024-01-01 05:00:00,INSERT,28
2024-01-01 06:00:00,UPDATE,96
2024-01-01 07:00:00,SELECT,43
2024-01-01 08:00:00,DELETE,23
2024-01-01 09:00:00,SELECT,37
2024-01-01 10:00:00,DELETE,39
2024-01-01 11:00:00,INSERT,31
2024-01-01 12:00:00,UPDATE,24
2024-01-01 13:00:00,DELETE,16
2024-01-01 14:00:00,INSERT,16
2024-01-01 15:00:00,INSERT,73
2024-01-01 16:00:00,UPDATE,26
2024-01-01 17:00:00,INSERT,67
2024-01-01 18:00:00,SELECT,96
2024-01-01 19:00:00,INSERT,92
2024-01-01 20:00:00,SELECT,40
2024-01-01 21:00:00,SELECT,96
2024-01-01 22:00:00,DELETE,40
2024-01-01 23:00:00,UPDATE,95
2024-01-02 00:00:00,UPDATE,49
2024-01-02 01:00:00,INSERT,52
2024-01-02 02:00:00,UPDATE,34
2024-01-02 03:00:00,UPDATE,57
2024-01-02 04:00:00,INSERT,43
2024-01-02 05:00:00,SELECT,89
2024-01-02 06:00:00,UPDATE,89
2024-01-02 07:00:00,SELECT,99
2024-01-02 08:00:00,INSERT,98
2024-01-02 09:00:00,DELETE,81
2024-01-02 10:00:00,SELECT,89
2024-01-02 11:00:00,UPDATE,94
2024-01-02 12:00:00,DELETE,61
2024-01-02 13:00:00,INSERT,33
2024-01-02 14:00:00,SELECT,33
2024-01-02 15:00:00,DELETE,80
2024-01-02 16:00:00,SELECT,8
2024-01-02 17:00:00,SELECT,86
2024-01-02 18:00:00,DELETE,10
2024-01-02 19:00:00,DELETE,16
2024-01-02 20:00:00,INSERT,98
2024-01-02 21:00:00,DELETE,61
2024-01-02 22:00:00,UPDATE,41
2024-01-02 23:00:00,UPDATE,67
2024-01-03 00:00:00,SELECT,91
